	body_text	label	label_num
0	produced emma dudding john bickers dagny fairy tales brothers grimm preparer note text base translation grimms kinder und hausmarchen edgar taylor marian edwardes contents golden bird hans luck jorinda jorindel travelling musicians old sultan straw coal bean briar rose dog sparrow twelve dancing princesses fisherman wife willowwren bear frogprince cat mouse partnership goosegirl adventures chanticleer partlet went mountains eat nuts chanticleer partlet went visit mr korbes rapunzel fundevogel valiant little tailor hansel gretel mouse bird sausage mother holle little redcap little red riding hood robber bridegroom tom thumb rumpelstiltskin clever gretel old man grandson little peasant frederick catherine sweetheart roland snowdrop pink clever elsie miser bush ashputtel white snake wolf seven little kids queen bee elves shoemaker junipertree junipertree turnip clever hans three languages fox cat four clever brothers lily lion fox horse blue light raven golden goose water life twelve huntsmen king golden mountain doctor knowall seven ravens wedding	A	0
1	mrs fox first story second story salad story youth went forth learn fear king grislybeard iron hans catskin snowwhite rosered brothers grimm fairy tales golden bird certain king beautiful garden garden stand tree bore golden apple apple always count time begin grow ripe find every night one go king become angry order gardener keep watch night tree gardener set eldest son watch twelve clock fell asleep morning another apple miss second son order watch midnight fell asleep morning another apple go third son offer keep watch gardener first would let fear harm come however last consent young man lay tree watch clock strike twelve hear rustle noise air bird come fly pure gold snap one apple beak gardener son jump shoot arrow arrow bird harm drop golden feather tail fly away golden feather bring king morning council call together everyone agree worth wealth kingdom king say one feather use must	A	0
2	whole bird gardener eldest son set think find golden bird easily go little way come wood side wood saw fox sitting take bow make ready shoot fox say shoot give good counsel know business want find golden bird reach village evening get see two inns opposite one pleasant beautiful look go rest night though may appear poor mean son think beast know matter shoot arrow fox miss set tail back ran wood go way evening come village two inn one people sing dancing feasting look dirty poor silly say go shabby house leave charming place go smart house ate drank ease forget bird country time pass eldest son come back tidings hear second son set thing happen meet fox give good advice come two inn eldest brother stand window merrymaking call come could withstand temptation go forget golden bird country manner time pass young son wish set wide world seek	A	0
3	golden bird father would listen long fond son afraid ill luck might happen also prevent come back however last agree go would rest home come wood meet fox hear good counsel thankful fox attempt life brother fox say sit upon tail travel faster sit fox begin run away go stock stone quick hair whistle wind come village son follow fox counsel without look go shabby inn rest night ease morning come fox meet begin journey say go straight forward till come castle lie whole troop soldier fast asleep snoring take notice go castle pas till come room golden bird sits wooden cage close stand beautiful golden cage try take bird shabby cage put handsome one otherwise repent fox stretch tail young man sit away go stock stone till hair whistle wind castle gate fox say son go find chamber golden bird hung wooden cage stand golden cage three golden apple	A	0
4	lose lie close think droll thing bring away fine bird shabby cage open door take hold put golden cage bird set loud scream soldier awake take prisoner carry king next morning court sit judge hear sentence die unless bring king golden horse could run swiftly wind golden bird give set journey sighing great despair sudden friend fox meet say see happen account listen counsel still however tell find golden horse bid must go straight till come castle horse stand stall side lie groom fast asleep snoring take away horse quietly sure put old leathern saddle upon golden one close son sit fox tail away go stock stone till hair whistle wind go right groom lay snore hand upon golden saddle son look horse think great pity put leathern saddle upon give good one say sure deserve take golden saddle groom awoke cry loud guard run take prisoner morning bring court	A	0
5	judge sentence die agree could bring thither beautiful princess live bird horse give go way sorrowful old fox come say listen would carry away bird horse yet give counsel go straight evening arrive castle twelve clock night princess go bathinghouse go give kiss let lead away take care suffer go take leave father mother fox stretch tail away go stock stone till hair whistle come castle fox say twelve clock young man meet princess go bath give kiss agree run away beg many tear would let take leave father first refuse weep still fell foot till last consent moment come father house guard awoke take prisoner bring king king say shall never daughter unless eight day dig away hill stop view window hill big whole world could take away work seven day little fox come say lie go sleep work morning awake hill go go merrily king tell remove must	A	0
6	give princess king oblige keep word away go young man princess fox come say three princess horse bird ah say young man would great thing contrive listen say fox come king ask beautiful princess must say joyful mount golden horse give put hand take leave shake hand princess last lift quickly horse behind clap spur side gallop away fast go right fox say come castle bird stay princess door ride speak king see right horse bring bird must sit still say want look see whether true golden bird get hand ride away happen fox say carry bird princess mount ride great wood fox come say pray kill cut head feet young man refuse fox say rate give good counsel beware two thing ransom one gallows sit side river away go well think young man hard matter keep advice ride princess till last come village leave two brother hear great noise	A	0
7	uproar ask matter people say two men go hanged come nearer saw two men brother turn robber say way save people say unless would bestow money upon rascal buy liberty stay think matter pay ask brother give go towards home come wood fox first meet cool pleasant two brother say let us sit side river rest eat drink say yes forget fox counsel sit side river suspect nothing come behind throw bank take princess horse bird go home king master say win labour great rejoicing make horse would eat bird would sing princess wept young son fell bottom river bed luckily nearly dry bone almost break bank steep could find way get old fox come scold follow advice otherwise evil would befall yet say leave lay hold tail hold fast pull river say get upon bank brother set watch kill find kingdom dress poor man come secretly king court scarcely	A	0
8	within door horse begin eat bird sing princess leave weep go king tell brother roguery seize punish princess give king death heir kingdom long go walk one day wood old fox meet beseech tear eye kill cut head foot last moment fox change man turn brother princess lose great many many year hans luck men bear good luck try come right fall much gain goose swan card trump toss way always like poor pus alight upon leg move much faster world may likely always think think care world know matter one lucky neighbour hans seven long year work hard master last say master time must go home see poor mother pray pay wage let go master say faithful good servant hans pay shall handsome give lump silver big head hans take pockethandkerchief put piece silver throw shoulder jog road homewards go lazily drag one foot another man come sight trot	A	0
9	gaily along capital horse ah say hans aloud fine thing ride horseback sit easy happy home chair fireside trip stone save shoeleather get hardly know hans speak softly horseman heard say well friend go foot ah say load carry sure silver heavy hold head must know hurt shoulder sadly say make exchange say horseman give horse shall give silver save great deal trouble carry heavy load heart say hans kind must tell one thing weary task draw silver however horseman get take silver help hans give bridle one hand whip say want go fast smack lip loudly together cry jip hans delight sit horse draw square elbow turn toe crack whip ride merrily one minute whistle merry tune another singing care sorrow fig morrow laugh merry sing neigh derry time think like go little faster smack lip cry jip away go horse full gallop hans know throw lay back roadside	A	0
